flow_id,src_ip,dst_ip,src_port,dst_port,protocol,start_time,start_time_iso,end_time,end_time_iso,duration_seconds,packet_count,total_bytes,forward_bytes,reverse_bytes,bytes_per_second,packets_per_second,avg_packet_size,fetched_at,tor_confidence,is_suspected_tor,tor_evidence,tor_port_match,tor_size_match,tor_timing_match
4432d56164c4,127.0.0.1,127.0.0.1,9150,49834,TCP,1543576933.498302,2018-11-30T16:52:13.498302,1543576970.577148,2018-11-30T16:52:50.577148,37.0788459777832,78,39052,36062,2990,1053.2150872063025,2.103625340625105,500.6666666666667,2025-12-15T20:46:50.049233,0.3,0,Stable timing,0,0,1
7da9cf811bd8,127.0.0.1,127.0.0.1,9150,49835,TCP,1543576933.498302,2018-11-30T16:52:13.498302,1543576971.673859,2018-11-30T16:52:51.673859,38.175556898117065,79,36346,33335,3011,952.0751746202475,2.069386969542716,460.0759493670886,2025-12-15T20:46:50.049254,0.3,0,Stable timing,0,0,1
83764072bbab,127.0.0.1,127.0.0.1,9150,49836,TCP,1543576933.513293,2018-11-30T16:52:13.513293,1543576971.553041,2018-11-30T16:52:51.553041,38.03974795341492,80,40945,37924,3021,1076.374113996312,2.1030633562023433,511.8125,2025-12-15T20:46:50.049273,0.3,0,Stable timing,0,0,1
5cd456b05014,127.0.0.1,127.0.0.1,9150,49837,TCP,1543576946.898156,2018-11-30T16:52:26.898156,1543576951.532745,2018-11-30T16:52:31.532745,4.634588956832886,37,7411,5919,1492,1599.063060182238,7.983448013323816,200.2972972972973,2025-12-15T20:46:50.049291,0.0,0,No strong evidence,0,0,0
16289269c115,127.0.0.1,127.0.0.1,9150,49838,TCP,1543576975.708954,2018-11-30T16:52:55.708954,1543577013.774122,2018-11-30T16:53:33.774122,38.06516790390015,28,3777,2723,1054,99.22457217410592,0.7355806250661809,134.89285714285714,2025-12-15T20:46:50.049308,0.3,0,Stable timing,0,0,1
7af18f0b3d7d,127.0.0.1,127.0.0.1,9150,49839,TCP,1543576975.708954,2018-11-30T16:52:55.708954,1543577013.693112,2018-11-30T16:53:33.693112,37.98415780067444,28,3152,2091,1061,82.98196360020476,0.7371494228444585,112.57142857142857,2025-12-15T20:46:50.049324,0.3,0,Stable timing,0,0,1
bb242761a49e,127.0.0.1,127.0.0.1,9150,49840,TCP,1543576975.798369,2018-11-30T16:52:55.798369,1543576982.91198,2018-11-30T16:53:02.911980,7.1136109828948975,19,887,386,501,124.69054072999556,2.6709360472039636,46.68421052631579,2025-12-15T20:46:50.049341,0.0,0,No strong evidence,0,0,0
9d2a60dbf514,127.0.0.1,127.0.0.1,9150,49841,TCP,1543577012.453185,2018-11-30T16:53:32.453185,1543577129.422118,2018-11-30T16:55:29.422118,116.96893286705017,59,14450,11074,3376,123.53707643399837,0.5044074401111351,244.91525423728814,2025-12-15T20:46:50.049358,0.3,0,Stable timing,0,0,1
1d9391d7e12e,127.0.0.1,127.0.0.1,9150,49842,TCP,1543577048.965358,2018-11-30T16:54:08.965358,1543577054.721562,2018-11-30T16:54:14.721562,5.756203889846802,59,29164,27494,1670,5066.533527667691,10.249810661513981,494.3050847457627,2025-12-15T20:46:50.049375,0.0,0,No strong evidence,0,0,0
41982a93573f,127.0.0.1,127.0.0.1,9150,49843,TCP,1543577050.134678,2018-11-30T16:54:10.134678,1543577055.430445,2018-11-30T16:54:15.430445,5.295767068862915,54,25969,24424,1545,4903.727762629098,10.196823103776476,480.9074074074074,2025-12-15T20:46:50.049392,0.0,0,No strong evidence,0,0,0
94a20dc0e876,127.0.0.1,127.0.0.1,9150,49844,TCP,1543577050.134678,2018-11-30T16:54:10.134678,1543577054.721562,2018-11-30T16:54:14.721562,4.586884021759033,34,11417,10374,1043,2489.053559200669,7.412439433548458,335.79411764705884,2025-12-15T20:46:50.049409,0.0,0,No strong evidence,0,0,0
4ba9508be6af,127.0.0.1,127.0.0.1,9150,49845,TCP,1543577055.452092,2018-11-30T16:54:15.452092,1543577060.699111,2018-11-30T16:54:20.699111,5.247019052505493,43,15298,13686,1612,2915.560215603769,8.195129381027721,355.7674418604651,2025-12-15T20:46:50.049426,0.0,0,No strong evidence,0,0,0
24a1a916a4be,127.0.0.1,127.0.0.1,9150,49846,TCP,1543577056.079438,2018-11-30T16:54:16.079438,1543577060.699111,2018-11-30T16:54:20.699111,4.619673013687134,19,887,386,501,192.00493138194042,4.112845204348217,46.68421052631579,2025-12-15T20:46:50.049442,0.0,0,No strong evidence,0,0,0
534b53e1a579,127.0.0.1,127.0.0.1,9150,49851,TCP,1543577074.782384,2018-11-30T16:54:34.782384,1543577081.749752,2018-11-30T16:54:41.749752,6.967368125915527,38,14778,13484,1294,2121.030456971604,5.453996302944983,388.89473684210526,2025-12-15T20:46:50.049459,0.0,0,No strong evidence,0,0,0
318ce2dd2ed4,127.0.0.1,127.0.0.1,9150,49852,TCP,1543577084.535855,2018-11-30T16:54:44.535855,1543577108.241463,2018-11-30T16:55:08.241463,23.705607891082764,105,64316,60342,3974,2713.1132977270527,4.429331678918785,612.5333333333333,2025-12-15T20:46:50.049476,0.0,0,No strong evidence,0,0,0
